Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
50000,1,1.0,1.0,2000,11,168,673.8461538461539,1,8761.0,2502.0,1195.0
,2,0.9,0.04,1800,,,1179.2307692307693,2,8474.0,2420.0,1156.0
,3,0.55,0.024,1100,,,842.3076923076924,3,8336.0,2380.0,1136.0
,4,0.2,0.003,400,,,842.3076923076924,4,8275.0,2364.0,1128.0
,,,,,,,1010.7692307692308,5,8330.0,2379.0,1136.0
,,,,,,,1347.6923076923078,6,8557.0,2444.0,1166.0
,,,,,,,168.46153846153848,7,8959.0,2559.0,1222.0
,,,,,,,1853.076923076923,8,9399.0,2684.0,1282.0
,,,,,,,505.3846153846154,9,9982.0,2850.0,1361.0
,,,,,,,168.46153846153848,10,10341.0,2953.0,1410.0
,,,,,,,168.46153846153848,11,10483.0,2994.0,1429.0
,,,,,,,,12,10481.0,2993.0,1428.0
,,,,,,,,13,10418.0,2975.0,1420.0
,,,,,,,,14,10339.0,2953.0,1409.0
,,,,,,,,15,10308.0,2944.0,1405.0
,,,,,,,,16,10326.0,2949.0,1408.0
,,,,,,,,17,10808.0,3086.0,1474.0
,,,,,,,,18,11527.0,3292.0,1571.0
,,,,,,,,19,11531.0,3293.0,1572.0
,,,,,,,,20,11320.0,3233.0,1544.0
,,,,,,,,21,10905.0,3115.0,1487.0
,,,,,,,,22,10222.0,2920.0,1393.0
,,,,,,,,23,9458.0,2701.0,1289.0
,,,,,,,,24,8683.0,2479.0,1184.0
,,,,,,,,25,8126.0,2321.0,1108.0
,,,,,,,,26,7842.0,2239.0,1069.0
,,,,,,,,27,7727.0,2207.0,1054.0
,,,,,,,,28,7733.0,2209.0,1055.0
,,,,,,,,29,7973.0,2277.0,1087.0
,,,,,,,,30,8704.0,2485.0,1186.0
,,,,,,,,31,10034.0,2865.0,1368.0
,,,,,,,,32,10781.0,3079.0,1469.0
,,,,,,,,33,10942.0,3126.0,1492.0
,,,,,,,,34,11033.0,3151.0,1504.0
,,,,,,,,35,11119.0,3176.0,1516.0
,,,,,,,,36,11103.0,3170.0,1514.0
,,,,,,,,37,10996.0,3140.0,1499.0
,,,,,,,,38,10921.0,3119.0,1489.0
,,,,,,,,39,10803.0,3085.0,1473.0
,,,,,,,,40,10808.0,3086.0,1474.0
,,,,,,,,41,11301.0,3227.0,1540.0
,,,,,,,,42,12019.0,3432.0,1639.0
,,,,,,,,43,11919.0,3404.0,1625.0
,,,,,,,,44,11541.0,3296.0,1574.0
,,,,,,,,45,10997.0,3140.0,1499.0
,,,,,,,,46,10197.0,2912.0,1390.0
,,,,,,,,47,9194.0,2625.0,1253.0
,,,,,,,,48,8285.0,2366.0,1130.0
,,,,,,,,49,7707.0,2201.0,1050.0
,,,,,,,,50,7341.0,2097.0,1000.0
,,,,,,,,51,7162.0,2045.0,976.0
,,,,,,,,52,7116.0,2032.0,970.0
,,,,,,,,53,7319.0,2090.0,998.0
,,,,,,,,54,7994.0,2283.0,1090.0
,,,,,,,,55,9337.0,2666.0,1273.0
,,,,,,,,56,10078.0,2878.0,1374.0
,,,,,,,,57,10153.0,2900.0,1384.0
,,,,,,,,58,10111.0,2888.0,1378.0
,,,,,,,,59,10123.0,2891.0,1380.0
,,,,,,,,60,10081.0,2879.0,1374.0
,,,,,,,,61,9965.0,2846.0,1358.0
,,,,,,,,62,9889.0,2825.0,1348.0
,,,,,,,,63,9783.0,2794.0,1333.0
,,,,,,,,64,9791.0,2796.0,1335.0
,,,,,,,,65,10281.0,2936.0,1402.0
,,,,,,,,66,11182.0,3194.0,1525.0
,,,,,,,,67,11192.0,3196.0,1526.0
,,,,,,,,68,10926.0,3120.0,1489.0
,,,,,,,,69,10493.0,2997.0,1430.0
,,,,,,,,70,9776.0,2792.0,1332.0
,,,,,,,,71,8880.0,2536.0,1211.0
,,,,,,,,72,8042.0,2297.0,1096.0
,,,,,,,,73,7503.0,2143.0,1023.0
,,,,,,,,74,7232.0,2065.0,986.0
,,,,,,,,75,7111.0,2031.0,969.0
,,,,,,,,76,7117.0,2033.0,970.0
,,,,,,,,77,7346.0,2098.0,1001.0
,,,,,,,,78,8087.0,2309.0,1102.0
,,,,,,,,79,9490.0,2710.0,1294.0
,,,,,,,,80,10273.0,2934.0,1401.0
,,,,,,,,81,10338.0,2952.0,1409.0
,,,,,,,,82,10396.0,2969.0,1418.0
,,,,,,,,83,10443.0,2982.0,1424.0
,,,,,,,,84,10416.0,2975.0,1420.0
,,,,,,,,85,10312.0,2945.0,1406.0
,,,,,,,,86,10256.0,2929.0,1398.0
,,,,,,,,87,10138.0,2895.0,1383.0
,,,,,,,,88,10122.0,2891.0,1380.0
,,,,,,,,89,10578.0,3021.0,1442.0
,,,,,,,,90,11573.0,3306.0,1578.0
,,,,,,,,91,11640.0,3325.0,1587.0
,,,,,,,,92,11375.0,3249.0,1551.0
,,,,,,,,93,10958.0,3130.0,1494.0
,,,,,,,,94,10211.0,2916.0,1392.0
,,,,,,,,95,9243.0,2639.0,1260.0
,,,,,,,,96,8385.0,2394.0,1143.0
,,,,,,,,97,7825.0,2235.0,1067.0
