cpa_id,cluster
23580,1
23588,1
23591,1
23597,1
23603,1
23604,1
23609,1
23619,1
23622,1
23636,1
23640,1
23647,1
23651,1
23682,1
23693,1
23708,1
23745,1
23759,1
23761,1
23762,1
23782,1
23807,1
23818,1
23964,1
23968,1
23969,1
23970,1
41054,1
41055,1
41056,1
41068,1
41069,1
41183,1
41194,1
41197,1
41198,1
41203,1
41205,1
41226,1
41294,1
41296,1
41297,1
41300,1
41459,1
42248,1
42270,1
42273,1
42276,1
42277,1
42278,1
42386,1
42387,1
42388,1
42389,1
42390,1
42391,1
42392,1
42393,1
42394,1
42397,1
42398,1
42399,1
42400,1
42401,1
42402,1
42403,1
42404,1
42408,1
42409,1
42468,1
42469,1
42471,1
42472,1
42473,1
42474,1
42475,1
42476,1
42477,1
42478,1
42479,1
42480,1
42482,1
42483,1
42485,1
42486,1
42487,1
42488,1
42489,1
42492,1
42493,1
42494,1
42495,1
42496,1
42497,1
42501,1
42502,1
42503,1
42504,1
42505,1
42506,1
42509,1
42510,1
42511,1
42512,1
42515,1
42517,1
42520,1
42522,1
42523,1
42524,1
42525,1
42528,1
42533,1
42535,1
42536,1
42539,1
42545,1
42552,1
42553,1
42644,1
42678,1
42777,1
42778,1
42779,1
42798,1
42799,1
42800,1
42811,1
42812,1
42815,1
42817,1
42818,1
42823,1
42824,1
42825,1
42836,1
42837,1
42838,1
42839,1
42840,1
42841,1
42846,1
42847,1
42848,1
42849,1
42850,1
42851,1
42852,1
42853,1
42856,1
42857,1
42858,1
42859,1
42860,1
42865,1
42866,1
42867,1
42868,1
42869,1
42970,1
42975,1
42976,1
42977,1
42978,1
42979,1
42980,1
42981,1
42982,1
43233,1
43234,1
43286,1
43587,1
43588,1
43590,1
43720,1
43721,1
43722,1
43723,1
43729,1
43730,1
43731,1
43732,1
43733,1
43734,1
43735,1
43736,1
43753,1
43754,1
43755,1
43756,1
43757,1
43758,1
43763,1
43780,1
43783,1
43785,1
43786,1
43787,1
43788,1
43789,1
43790,1
43810,1
43811,1
43813,1
43815,1
43816,1
43817,1
43818,1
43819,1
43820,1
43821,1
43822,1
43824,1
43842,1
43843,1
43844,1
43845,1
43848,1
43849,1
43850,1
43851,1
43853,1
43857,1
43872,1
43873,1
43874,1
43877,1
43878,1
43880,1
43881,1
43889,1
43907,1
43916,1
43920,1
43921,1
43922,1
43923,1
43945,1
43951,1
43955,1
43958,1
43959,1
43960,1
43986,1
43987,1
43988,1
43989,1
43991,1
43993,1
43994,1
43995,1
43996,1
43997,1
43998,1
43999,1
44000,1
44024,1
44027,1
44028,1
44030,1
44031,1
44032,1
44033,1
44034,1
44035,1
44037,1
44038,1
44039,1
44061,1
44064,1
44067,1
44068,1
44069,1
44071,1
44072,1
44076,1
44100,1
44107,1
44108,1
44109,1
44110,1
44111,1
44143,1
44148,1
44149,1
44150,1
44151,1
44152,1
44154,1
44155,1
44156,1
44157,1
44190,1
44191,1
44194,1
44195,1
44196,1
44197,1
44198,1
44238,1
44282,1
44349,1
44386,1
44388,1
44500,1
44501,1
44562,1
44564,1
44594,1
44796,1
44798,1
44799,1
44817,1
44851,1
44860,1
44881,1
44892,1
44895,1
44897,1
44915,1
44916,1
45157,1
45158,1
45159,1
45160,1
45161,1
45162,1
45163,1
45164,1
45165,1
45180,1
45205,1
45206,1
45207,1
45208,1
45215,1
45216,1
45218,1
45224,1
45225,1
45236,1
45244,1
45245,1
45246,1
45247,1
45249,1
45257,1
45258,1
45259,1
45264,1
45265,1
45266,1
45269,1
45272,1
45273,1
45279,1
45280,1
45282,1
45283,1
45286,1
45287,1
45288,1
45289,1
45290,1
45294,1
45295,1
45297,1
45298,1
45299,1
45300,1
45303,1
45304,1
45305,1
45306,1
45307,1
45308,1
45311,1
45312,1
45313,1
45320,1
45321,1
45322,1
45323,1
45324,1
45325,1
45327,1
45328,1
45329,1
45330,1
45331,1
45338,1
45339,1
45340,1
45341,1
45342,1
45343,1
45344,1
45345,1
45346,1
45347,1
45348,1
45349,1
45351,1
45353,1
45354,1
45355,1
45356,1
45357,1
45358,1
45359,1
45361,1
45362,1
45363,1
45364,1
45365,1
45369,1
45393,1
45394,1
45395,1
45396,1
45397,1
45398,1
45399,1
45400,1
45401,1
45402,1
45403,1
45404,1
45405,1
45406,1
45407,1
45408,1
45409,1
45410,1
45411,1
45412,1
45413,1
45414,1
45415,1
45416,1
45417,1
45418,1
45419,1
45420,1
45421,1
45422,1
45423,1
45427,1
45428,1
45429,1
45430,1
45431,1
45432,1
45433,1
45434,1
45435,1
45436,1
47384,1
47532,1
47534,1
47535,1
47536,1
47539,1
47540,1
47543,1
47544,1
47545,1
47547,1
47549,1
47551,1
47552,1
47553,1
47554,1
47555,1
47556,1
47560,1
47561,1
47563,1
47565,1
47566,1
47568,1
47570,1
47571,1
47572,1
47576,1
47577,1
47578,1
47579,1
47580,1
47581,1
47582,1
47583,1
47584,1
47585,1
47586,1
47588,1
47591,1
47592,1
47593,1
47594,1
47596,1
47597,1
47598,1
47599,1
47600,1
47601,1
47602,1
47604,1
47605,1
47606,1
47607,1
47608,1
47610,1
47611,1
47612,1
47613,1
47614,1
47615,1
47616,1
47619,1
47620,1
47621,1
47622,1
47624,1
47625,1
47626,1
47629,1
47634,1
47635,1
47636,1
47638,1
47639,1
47640,1
47645,1
47646,1
47647,1
47648,1
47649,1
47650,1
47653,1
47655,1
47656,1
47657,1
47658,1
47659,1
47660,1
47662,1
47663,1
47664,1
47665,1
47666,1
47667,1
47668,1
47669,1
47670,1
47671,1
47672,1
47673,1
47674,1
47675,1
47676,1
47677,1
47678,1
47679,1
47680,1
47681,1
47682,1
47685,1
47686,1
47687,1
47688,1
47689,1
47690,1
47691,1
47692,1
47693,1
47695,1
47697,1
47698,1
47699,1
47700,1
47701,1
47718,1
47719,1
47721,1
47723,1
47724,1
47726,1
47728,1
47729,1
47730,1
47731,1
47732,1
47733,1
47734,1
47735,1
47736,1
47737,1
47738,1
47739,1
47740,1
47741,1
47742,1
47743,1
47744,1
47745,1
47746,1
47747,1
47748,1
47749,1
47750,1
47751,1
47752,1
47753,1
47755,1
47808,1
47819,1
47834,1
47835,1
47839,1
47840,1
47845,1
47890,1
47913,1
47914,1
47915,1
47916,1
47917,1
47918,1
47919,1
47922,1
47923,1
47924,1
47925,1
47930,1
47931,1
47940,1
48500,1
48501,1
48530,1
48531,1
48532,1
48560,1
48561,1
48562,1
48588,1
48589,1
48633,1
48895,1
48896,1
48899,1
48900,1
48909,1
48910,1
48916,1
48917,1
48919,1
48923,1
49042,1
49067,1
49069,1
49238,1
49242,1
49263,1
49287,1
49295,1
49296,1
49643,1
49647,1
49666,1
49667,1
49670,1
49683,1
49693,1
49694,1
49695,1
49697,1
49708,1
49711,1
49713,1
49714,1
49715,1
49716,1
49717,1
49718,1
49719,1
49720,1
49724,1
49725,1
49726,1
49728,1
49729,1
49741,1
49742,1
